committee_name,donor_name,amount,date,candidate_name,race_name
Neighbors for Better Government,Sunrise Ventures LLC,36922.56,2021-07-25,Daniel Anderson,Governor
Desert Sunrise Action,Sunrise Ventures LLC,13269.09,2024-09-24,Daniel Robinson,Phoenix City Council District 4
Citizens for Fair Elections,Copper Ridge Holdings,75926.95,2020-04-18,Sophia Wilson,US Senate
Arizona Future Coalition,Desert Tech Partners,81854.99,2022-06-21,Abigail Walker,Tucson City Council District 1
Keep AZ Moving Committee,Blue Sky Developers,104796.37,2023-10-25,Ava Davis,State Senate District 5
Grand Canyon Progress PAC,Valley Healthcare Group,15555.99,2024-04-05,Ella Thomas,US House District 2
Arizona Families First,Mesa Community Trust,39862.0,2020-06-26,Logan Rodriguez,Secretary of State
Desert Sunrise Action,Gila River Foundation,12050.33,2023-04-15,Emma Jackson,Maricopa County Supervisor District 2
Clean Government Project,Red Rock Philanthropy,29045.22,2020-10-11,Logan Clark,Pima County Board District 3
Citizens for Fair Elections,Red Rock Philanthropy,147786.92,2022-08-11,Ella Taylor,US House District 2
Clean Government Project,Sunrise Ventures LLC,95443.75,2024-02-03,Isabella Harris,State House District 7
Protect Arizona Values PAC,Mesa Community Trust,40229.93,2020-10-19,Sophia Lee,State Senate District 12
Vote Integrity Fund,Red Rock Philanthropy,36910.44,2025-03-08,Benjamin Hall,US House District 1
Desert Shores Coalition,Canyon Ridge Investments,83653.22,2023-08-21,Abigail Walker,Attorney General
Clean Government Project,Frontier Manufacturing Co.,123314.94,2023-07-16,Liam Wilson,State Treasurer
Desert Shores Coalition,Canyon Ridge Investments,131486.05,2023-07-12,Sophia Clark,US Senate
Sunrise Civic Action Fund,Red Rock Philanthropy,68963.06,2022-12-20,Amelia Lewis,State House District 20
Protect Arizona Values PAC,Desert Tech Partners,39595.56,2024-10-20,Benjamin Robinson,Tucson City Council District 1
Bold Arizona Voices,Blue Sky Developers,149599.54,2021-07-20,Logan Wilson,State House District 7
Arizona Future Coalition,Gila River Foundation,129200.16,2021-09-18,Ella Johnson,US Senate
Neighbors for Better Government,Valley Healthcare Group,89562.25,2024-04-25,Michael White,State Treasurer
Desert Shores Coalition,Blue Sky Developers,145668.99,2020-02-17,Harper Anderson,State House District 20
Neighbors for Better Government,Desert Orchard LLC,112693.95,2023-10-25,Michael Robinson,US Senate
Arizona Families First,Canyon Ridge Investments,735.99,2022-12-14,Elijah Harris,State House District 7
Arizona Future Coalition,Frontier Manufacturing Co.,130610.16,2023-05-07,Harper Garcia,US House District 1
Clean Government Project,Red Rock Philanthropy,23137.68,2021-10-23,Jacob Miller,Maricopa County Supervisor District 2
Arizona Future Coalition,Frontier Manufacturing Co.,89941.95,2025-06-24,Harper Smith,Attorney General
Citizens for Fair Elections,Sunrise Ventures LLC,36107.98,2022-09-13,Logan Taylor,Attorney General
Bold Arizona Voices,Blue Sky Developers,73027.07,2020-10-10,Noah Hall,US Senate
Arizona Workers Alliance,Saguaro Capital,99047.69,2021-11-07,Olivia Brown,State Treasurer
Grand Canyon Progress PAC,Saguaro Capital,144663.35,2022-04-03,Jacob White,Secretary of State
Desert Sunrise Action,Canyon Ridge Investments,56169.72,2025-10-20,Michael Lewis,State House District 7
Keep AZ Moving Committee,Sunrise Ventures LLC,50878.31,2022-07-31,Mason Martinez,US House District 2
Vote Integrity Fund,Desert Tech Partners,94757.67,2022-07-26,Noah Walker,Governor
Arizona Families First,Horizon Media Group,77244.88,2023-02-14,Mia Martinez,Governor
Neighbors for Better Government,Gila River Foundation,108572.05,2025-04-20,Benjamin Brown,US House District 2
Sunrise Civic Action Fund,Frontier Manufacturing Co.,14375.29,2024-10-31,Ethan Miller,State House District 20
Valley Voters Alliance,Pioneer Energy Group,8362.14,2021-02-07,Charlotte Hall,State House District 7
Citizens for Fair Elections,Pioneer Energy Group,37486.29,2022-02-18,Mia Garcia,Tucson City Council District 1
Arizona Future Coalition,Gila River Foundation,41962.14,2022-10-20,Ethan Davis,US House District 1
Clean Government Project,Horizon Media Group,14911.83,2020-03-01,Charlotte Robinson,US Senate
Arizona Families First,Horizon Media Group,61110.51,2025-05-25,Mason Davis,State Treasurer
Sunrise Civic Action Fund,Southwest AgriFund,57001.22,2024-05-18,Liam Davis,State House District 7
Grand Canyon Progress PAC,Horizon Media Group,63595.37,2025-06-16,Charlotte Taylor,State Treasurer
Protect Arizona Values PAC,Desert Tech Partners,86982.25,2020-09-06,Sophia Johnson,State Senate District 5
Desert Sunrise Action,Mesa Community Trust,71649.08,2025-12-15,Liam Clark,Governor
Protect Arizona Values PAC,Copper Ridge Holdings,10511.07,2020-10-05,Noah Davis,Maricopa County Supervisor District 2
Neighbors for Better Government,Southwest AgriFund,141254.02,2022-10-05,Amelia Garcia,US House District 2
Vote Integrity Fund,Blue Sky Developers,63028.93,2025-11-11,Jacob Martinez,Governor
Valley Voters Alliance,Horizon Media Group,107499.72,2022-09-04,Sophia Lee,State Senate District 5
Grand Canyon Progress PAC,Pioneer Energy Group,45174.56,2023-07-19,Michael Lewis,US House District 1
Bold Arizona Voices,Frontier Manufacturing Co.,68878.26,2021-02-13,Noah Smith,Attorney General
Arizona Families First,Saguaro Capital,20085.37,2023-11-30,Harper Anderson,US House District 2
Bold Arizona Voices,Sunrise Ventures LLC,42926.86,2024-11-29,Mason Moore,Attorney General
Clean Government Project,Saguaro Capital,147582.03,2025-12-06,Lucas Rodriguez,Tucson City Council District 1
Citizens for Fair Elections,Red Rock Philanthropy,139780.47,2021-02-28,Benjamin Taylor,Secretary of State
Bold Arizona Voices,Valley Healthcare Group,111426.9,2021-09-28,Emma Garcia,State Senate District 5
Grand Canyon Progress PAC,Canyon Ridge Investments,51596.32,2022-12-17,Sophia Walker,Pima County Board District 3
